protein1,protein2,Bait,Prey,GeneName,crisprKD,crisprContrast
9606.ENSP00000444029,9606.ENSP00000446215,Pe35,P49790,NUP153,RAN,TNFpos_iNOSneg-unsorted
9606.ENSP00000446093,9606.ENSP00000432768,Rv1804c,Q9BSJ2,TUBGCP2,CKAP5,TNFpos_iNOSneg-unsorted
9606.ENSP00000446093,9606.ENSP00000336799,Rv1804c,Q9BSJ2,TUBGCP2,TUBA1B,TNFpos_iNOSneg-unsorted
9606.ENSP00000446093,9606.ENSP00000458162,Rv1804c,Q9BSJ2,TUBGCP2,ACTB,TNFpos_iNOSneg-unsorted
9606.ENSP00000448035,9606.ENSP00000455106,Rv1827,Q13765,NACA,BOP1,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000222247,Rv2074,P05388,RPLP0,RPL18A,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000358812,Rv2074,P05388,RPLP0,PDCD11,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000345957,Rv2074,P05388,RPLP0,RPS21,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000376472,Rv2074,P05388,RPLP0,STT3A,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000363574,Rv2074,P05388,RPLP0,EIF6,TNFpos_iNOSpos-unsorted
9606.ENSP00000449328,9606.ENSP00000417602,Rv2074,P05388,RPLP0,MRPL47,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000341082,Rv2074,P05388,RPLP0,MRPL20,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000424870,Rv2074,P05388,RPLP0,SRP19,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000341885,Rv2074,P05388,RPLP0,RPS2,TNFpos_iNOSpos-unsorted
9606.ENSP00000449328,9606.ENSP00000464342,Rv2074,P05388,RPLP0,RPL36,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000346015,Rv2074,P05388,RPLP0,RPL27A,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000363018,Rv2074,P05388,RPLP0,RPL10A,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000377486,Rv2074,P05388,RPLP0,MRPL15,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000361076,Rv2074,P05388,RPLP0,RPL7A,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000308897,Rv2074,P05388,RPLP0,MRPL11,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000272418,Rv2074,P05388,RPLP0,MRPS5,TNFpos_iNOSpos-unsorted
9606.ENSP00000449328,9606.ENSP00000420714,Rv2074,P05388,RPLP0,MRPS14,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000339844,Rv2074,P05388,RPLP0,MRPL43,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000455106,Rv2074,P05388,RPLP0,BOP1,TNFpos_iNOSneg-unsorted
9606.ENSP00000449328,9606.ENSP00000261015,Rv2074,P05388,RPLP0,WDR12,TNFpos_iNOSneg-unsorted
9606.ENSP00000452181,9606.ENSP00000267199,Lpqn,Q9H9C1,VIPAS39,VPS33A,TNFpos_iNOSneg-unsorted
9606.ENSP00000457723,9606.ENSP00000416951,Rv1827,Q15287,RNPS1,ZC3H18,TNFpos_iNOSneg-unsorted
9606.ENSP00000477538,9606.ENSP00000363018,Rv3033,P55209,NAP1L1,RPL10A,TNFpos_iNOSneg-unsorted
9606.ENSP00000480987,9606.ENSP00000171111,Rv1827,P25205,MCM3,KEAP1,TNFpos_iNOSneg-unsorted
9606.ENSP00000480987,9606.ENSP00000307288,Rv1827,P25205,MCM3,MCM2,high_IFNB
9606.ENSP00000480987,9606.ENSP00000209728,Rv1827,P25205,MCM3,CDC6,TNFpos_iNOSpos-unsorted
9606.ENSP00000480987,9606.ENSP00000482313,Rv1827,P25205,MCM3,RECQL4,TNFpos_iNOSneg-unsorted
9606.ENSP00000480987,9606.ENSP00000253462,Rv1827,P25205,MCM3,GINS2,TNFpos_iNOSpos-unsorted
9606.ENSP00000480987,9606.ENSP00000450607,Rv1827,P25205,MCM3,TIMELESS,TNFpos_iNOSneg-unsorted
