protein1,protein2,Bait,Prey,GeneName,crisprKD,crisprContrast
9606.ENSP00000322419,9606.ENSP00000420714,Rv2074,P05387,RPLP2,MRPS14,TNFpos_iNOSneg-unsorted
9606.ENSP00000322419,9606.ENSP00000222247,Rv2074,P05387,RPLP2,RPL18A,TNFpos_iNOSneg-unsorted
9606.ENSP00000322419,9606.ENSP00000345957,Rv2074,P05387,RPLP2,RPS21,TNFpos_iNOSneg-unsorted
9606.ENSP00000322419,9606.ENSP00000464342,Rv2074,P05387,RPLP2,RPL36,TNFpos_iNOSneg-unsorted
9606.ENSP00000322419,9606.ENSP00000341885,Rv2074,P05387,RPLP2,RPS2,TNFpos_iNOSpos-unsorted
9606.ENSP00000322439,9606.ENSP00000313877,Rv2469c,P49411,TUFM,TSFM,TNFpos_iNOSneg-unsorted
9606.ENSP00000322439,9606.ENSP00000341885,Rv2469c,P49411,TUFM,RPS2,TNFpos_iNOSpos-unsorted
9606.ENSP00000322439,9606.ENSP00000420714,Rv2469c,P49411,TUFM,MRPS14,TNFpos_iNOSneg-unsorted
9606.ENSP00000322439,9606.ENSP00000341082,Rv2469c,P49411,TUFM,MRPL20,TNFpos_iNOSneg-unsorted
9606.ENSP00000322439,9606.ENSP00000272418,Rv2469c,P49411,TUFM,MRPS5,TNFpos_iNOSpos-unsorted
9606.ENSP00000322439,9606.ENSP00000308897,Rv2469c,P49411,TUFM,MRPL11,TNFpos_iNOSneg-unsorted
9606.ENSP00000322439,9606.ENSP00000377486,Rv2469c,P49411,TUFM,MRPL15,TNFpos_iNOSneg-unsorted
9606.ENSP00000322439,9606.ENSP00000363018,Rv2469c,P49411,TUFM,RPL10A,TNFpos_iNOSneg-unsorted
9606.ENSP00000322439,9606.ENSP00000346015,Rv2469c,P49411,TUFM,RPL27A,TNFpos_iNOSneg-unsorted
9606.ENSP00000324804,9606.ENSP00000261475,Rv1075c,P30153,PPP2R1A,PPP2R3C,TNFpos_iNOSneg-unsorted
9606.ENSP00000325074,9606.ENSP00000362576,Rv1075c,P63151,PPP2R2A,YARS1,TNFpos_iNOSneg-unsorted
9606.ENSP00000325074,9606.ENSP00000317334,Rv1075c,P63151,PPP2R2A,TCP1,TNFpos_iNOSneg-unsorted
9606.ENSP00000326261,9606.ENSP00000199814,Rv1827,Q8IYB3,SRRM1,RBM22,TNFpos_iNOSneg-unsorted
9606.ENSP00000326261,9606.ENSP00000416951,Rv1827,Q8IYB3,SRRM1,ZC3H18,TNFpos_iNOSneg-unsorted
9606.ENSP00000326261,9606.ENSP00000400591,Rv1827,Q8IYB3,SRRM1,SNRPE,TNFpos_iNOSneg-unsorted
9606.ENSP00000326261,9606.ENSP00000215793,Rv1827,Q8IYB3,SRRM1,SF3A1,TNFpos_iNOSneg-unsorted
9606.ENSP00000327077,9606.ENSP00000261475,Rv1827,Q15154,PCM1,PPP2R3C,TNFpos_iNOSneg-unsorted
9606.ENSP00000327650,9606.ENSP00000481126,Lpqn,Q9H267,VPS33B,VPS11,TNFpos_iNOSneg-unsorted
9606.ENSP00000332604,9606.ENSP00000363574,Lpqn,Q99613,EIF3C,EIF6,TNFpos_iNOSpos-unsorted
9606.ENSP00000332604,9606.ENSP00000345957,Lpqn,Q99613,EIF3C,RPS21,TNFpos_iNOSneg-unsorted
9606.ENSP00000332604,9606.ENSP00000431800,Lpqn,Q99613,EIF3C,EIF3F,TNFpos_iNOSneg-unsorted
9606.ENSP00000332604,9606.ENSP00000216190,Lpqn,Q99613,EIF3C,EIF3D,TNFpos_iNOSneg-unsorted
9606.ENSP00000332604,9606.ENSP00000436049,Lpqn,Q99613,EIF3C,EIF3M,TNFpos_iNOSneg-unsorted
9606.ENSP00000332604,9606.ENSP00000220849,Lpqn,Q99613,EIF3C,EIF3E,TNFpos_iNOSneg-unsorted
9606.ENSP00000332604,9606.ENSP00000341885,Lpqn,Q99613,EIF3C,RPS2,TNFpos_iNOSpos-unsorted
9606.ENSP00000340896,9606.ENSP00000337088,Rv1075c,Q9UBL3,ASH2L,MEN1,high_IFNB
9606.ENSP00000341826,9606.ENSP00000258149,Rv1498a,P09651,HNRNPA1,MDM2,TNFpos_iNOSpos-unsorted
9606.ENSP00000341826,9606.ENSP00000400433,Rv1498a,P09651,HNRNPA1,HNRNPF,TNFpos_iNOSpos-unsorted
9606.ENSP00000341826,9606.ENSP00000313007,Rv1498a,P09651,HNRNPA1,PABPC1,TNFpos_iNOSpos-unsorted
9606.ENSP00000346050,9606.ENSP00000464342,Rv2401,P61247,RPS3A,RPL36,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000308897,Rv2401,P61247,RPS3A,MRPL11,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000272418,Rv2401,P61247,RPS3A,MRPS5,TNFpos_iNOSpos-unsorted
9606.ENSP00000346050,9606.ENSP00000424870,Rv2401,P61247,RPS3A,SRP19,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000328854,Rv2401,P61247,RPS3A,NOC4L,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000341885,Rv2401,P61247,RPS3A,RPS2,TNFpos_iNOSpos-unsorted
9606.ENSP00000346050,9606.ENSP00000420714,Rv2401,P61247,RPS3A,MRPS14,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000220849,Rv2401,P61247,RPS3A,EIF3E,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000264951,Rv2401,P61247,RPS3A,XRN1,TNFpos_iNOSpos-unsorted
9606.ENSP00000346050,9606.ENSP00000436049,Rv2401,P61247,RPS3A,EIF3M,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000229214,Rv2401,P61247,RPS3A,KRR1,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000361076,Rv2401,P61247,RPS3A,RPL7A,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000346015,Rv2401,P61247,RPS3A,RPL27A,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000222247,Rv2401,P61247,RPS3A,RPL18A,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000216190,Rv2401,P61247,RPS3A,EIF3D,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000431800,Rv2401,P61247,RPS3A,EIF3F,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000308332,Rv2401,P61247,RPS3A,UTP23,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000363018,Rv2401,P61247,RPS3A,RPL10A,TNFpos_iNOSneg-unsorted
9606.ENSP00000346050,9606.ENSP00000345957,Rv2401,P61247,RPS3A,RPS21,TNFpos_iNOSneg-unsorted
9606.ENSP00000346088,9606.ENSP00000420714,Rv1075c,P35268,RPL22,MRPS14,TNFpos_iNOSneg-unsorted
9606.ENSP00000346088,9606.ENSP00000341885,Rv1075c,P35268,RPL22,RPS2,TNFpos_iNOSpos-unsorted
9606.ENSP00000346088,9606.ENSP00000424870,Rv1075c,P35268,RPL22,SRP19,TNFpos_iNOSneg-unsorted
9606.ENSP00000346088,9606.ENSP00000272418,Rv1075c,P35268,RPL22,MRPS5,TNFpos_iNOSpos-unsorted
9606.ENSP00000346088,9606.ENSP00000308897,Rv1075c,P35268,RPL22,MRPL11,TNFpos_iNOSneg-unsorted
9606.ENSP00000346088,9606.ENSP00000464342,Rv1075c,P35268,RPL22,RPL36,TNFpos_iNOSneg-unsorted
9606.ENSP00000346088,9606.ENSP00000376472,Rv1075c,P35268,RPL22,STT3A,TNFpos_iNOSneg-unsorted
9606.ENSP00000346088,9606.ENSP00000345957,Rv1075c,P35268,RPL22,RPS21,TNFpos_iNOSneg-unsorted
9606.ENSP00000346088,9606.ENSP00000222247,Rv1075c,P35268,RPL22,RPL18A,TNFpos_iNOSneg-unsorted
9606.ENSP00000346088,9606.ENSP00000346015,Rv1075c,P35268,RPL22,RPL27A,TNFpos_iNOSneg-unsorted
9606.ENSP00000346088,9606.ENSP00000363018,Rv1075c,P35268,RPL22,RPL10A,TNFpos_iNOSneg-unsorted
9606.ENSP00000346088,9606.ENSP00000361076,Rv1075c,P35268,RPL22,RPL7A,TNFpos_iNOSneg-unsorted
9606.ENSP00000346088,9606.ENSP00000363574,Rv1075c,P35268,RPL22,EIF6,TNFpos_iNOSpos-unsorted
9606.ENSP00000349727,9606.ENSP00000376345,Apa,Q7L591,DOK3,GRB2,TNFpos_iNOSneg-unsorted
9606.ENSP00000350071,9606.ENSP00000317334,Rv1804c,Q13033,STRN3,TCP1,TNFpos_iNOSneg-unsorted
9606.ENSP00000351777,9606.ENSP00000216190,Rv2074,P55072,VCP,EIF3D,TNFpos_iNOSneg-unsorted
9606.ENSP00000351777,9606.ENSP00000215071,Rv2074,P55072,VCP,PSMD8,TNFpos_iNOSneg-unsorted
9606.ENSP00000351777,9606.ENSP00000347184,Rv2074,P55072,VCP,HTT,TNFpos_iNOSneg-unsorted
9606.ENSP00000351777,9606.ENSP00000310129,Rv2074,P55072,VCP,PSMD2,TNFpos_iNOSneg-unsorted
